Driving home from work,,,,
HR,Stress,RR,SBP,DPB
0,0,0,269,163
0,0,0,269,163
0,0,0,269,163
25,0,0,229,139
37,0,0,227,137
48,0,0,225,137
59,0,0,218,132
66,0,0,214,130
70,0,0,212,128
72,0,0,208,126
73,0,0,201,122
74,0,0,198,120
75,0,0,195,118
75,0,0,192,116
75,0,4,186,113
75,0,4,184,111
75,0,4,181,110
75,0,4,179,108
75,0,8,175,106
75,0,6,173,105
76,0,6,171,104
75,0,6,170,103
75,0,6,166,101
75,0,6,165,100
75,0,9,163,99
75,0,9,162,98
75,0,9,161,97
75,0,9,158,96
75,0,9,157,95
75,0,8,156,94
74,0,8,155,94
74,0,8,153,93
74,0,8,153,92
74,0,8,152,92
74,0,8,151,91
74,0,8,149,91
74,0,8,149,90
75,0,8,148,90
75,0,8,147,89
76,0,10,147,89
77,0,10,146,89
78,0,8,146,88
78,0,8,146,88
78,0,8,145,88
79,0,8,145,88
79,0,8,144,87
79,0,8,144,87
79,0,10,143,87
79,0,8,142,86
78,0,8,142,86
78,0,8,141,86
78,0,10,141,85
78,0,10,141,85
78,0,10,140,85
78,0,8,140,85
77,0,8,139,85
77,0,10,139,84
77,0,10,139,84
77,0,10,139,84
77,0,8,139,84
76,90,8,138,84
76,90,9,138,84
76,90,9,138,84
76,90,9,138,84
76,90,9,138,84
76,90,9,137,83
76,90,9,137,83
76,90,10,137,83
76,90,10,137,83
76,90,10,137,83
76,90,10,137,83
76,89,9,137,83
76,89,10,137,83
76,89,10,137,83
76,89,10,136,83
76,89,10,136,82
76,89,11,136,82
76,88,11,136,82
76,88,10,136,82
76,87,10,136,82
76,87,11,136,82
76,87,11,136,82
76,86,11,136,82
76,86,11,135,82
76,85,10,135,82
76,85,11,136,82
76,84,11,136,82
76,83,11,136,82
76,83,11,136,82
76,82,11,136,82
76,82,11,136,82
76,81,11,136,82
76,80,11,136,82
76,80,11,136,82
76,79,12,136,82
76,78,12,136,82
76,77,12,136,82
76,76,12,135,82
76,75,12,135,82
76,74,12,135,82
76,73,12,136,82
76,72,12,136,82
76,71,12,136,82
76,69,12,136,82
75,68,13,136,82
75,67,13,136,82
75,66,13,136,82
75,65,12,136,82
