Driving to a meeting (looking for location at the end),,,,
HR,Stress,RR,SBP,DBP
0,0,0,269,163
0,0,0,269,163
0,0,0,269,163
14,0,0,269,163
24,0,0,262,159
35,0,0,250,152
45,0,0,244,148
52,0,0,239,145
58,0,0,234,142
63,0,0,226,137
67,0,0,221,134
69,0,0,217,132
72,0,0,211,128
74,0,0,208,126
75,0,4,204,124
77,0,4,198,120
78,0,4,195,118
80,0,4,193,117
80,0,4,188,114
80,0,3,188,114
80,0,6,187,113
80,0,6,185,112
80,0,6,182,111
79,0,6,180,109
79,0,6,177,108
78,0,6,176,106
78,0,6,174,105
77,0,6,170,103
77,0,6,168,102
76,0,4,166,101
76,0,4,165,100
76,0,4,162,98
76,0,4,161,97
76,0,6,159,96
76,0,6,157,95
76,0,6,155,94
76,0,6,156,94
76,0,6,154,94
76,0,6,153,93
76,0,6,151,92
75,0,8,150,91
75,0,8,150,91
75,0,6,150,91
74,0,8,149,91
74,0,8,148,89
74,0,8,147,89
73,0,8,146,89
73,0,8,147,89
72,0,8,147,89
72,0,8,146,89
71,0,6,145,88
71,0,6,145,88
71,0,8,145,88
71,0,8,144,87
71,0,8,143,87
71,0,8,143,87
71,0,8,142,86
70,0,8,142,86
70,0,8,141,86
70,0,6,141,85
70,54,7,142,86
70,54,7,142,86
70,54,7,141,85
70,55,7,141,85
70,55,8,140,85
71,55,8,140,85
71,55,8,140,85
71,55,8,140,85
71,55,8,140,85
71,55,9,139,84
71,55,9,139,84
72,55,9,139,84
72,55,8,138,84
72,55,8,138,84
72,55,8,138,83
72,55,8,138,83
73,55,8,137,83
73,55,8,137,83
73,55,9,137,83
73,55,9,137,83
73,55,8,137,83
73,55,8,136,83
73,54,8,136,82
72,54,9,136,82
72,54,9,136,82
72,53,9,136,82
71,53,9,137,83
71,53,9,137,83
70,52,10,137,83
70,52,10,137,83
69,51,10,136,82
69,50,11,136,82
69,50,11,136,82
69,49,10,136,82
69,49,10,135,82
68,48,11,136,82
68,48,11,137,83
68,47,11,136,83
68,47,11,136,83
68,47,11,136,82
68,46,10,136,82
68,46,11,136,82
68,46,11,136,82
68,46,10,135,82
68,46,11,135,82
68,46,11,135,82
68,46,11,135,82
